D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
8989|2025|tesla|X 100D|SUV|Black|10000|90000.00
22334|2015|Toyota|Camry|car|Blue|45821|15995.00
55678|2018|Chevrolet|Silverado|truck|Black|67234|28500.00
33445|2010|Nissan|Altima|car|White|98456|8750.00
66789|2020|Tesla|Model 3|car|Red|12300|35900.00
77890|2008|Jeep|Wrangler|SUV|Green|145678|12450.00
88901|2016|BMW|X5|SUV|Silver|78900|22300.00
99012|2019|Honda|Accord|car|Black|34567|19850.00
11223|2014|Ford|F-150|truck|Blue|112345|18900.00
44556|2017|Mazda|CX-5|SUV|White|56789|17200.00
55667|2021|Hyundai|Elantra|car|Gray|8900|21500.00
